0.006	0.010
0.012	0.010
0.019	0.010
0.025	0.010
0.031	0.010
0.037	0.010
0.043	0.010
0.050	0.010
0.056	0.010
0.062	0.010
0.068	0.010
0.075	0.010
0.081	0.010
0.087	0.010
0.093	0.010
0.099	0.010
0.106	0.010
0.112	0.010
0.118	0.010
0.124	0.010
0.130	0.010
0.137	0.017
0.143	0.032
0.149	0.046
0.155	0.061
0.161	0.075
0.168	0.090
0.174	0.104
0.180	0.119
0.186	0.133
0.193	0.148
0.199	0.162
0.205	0.177
0.211	0.191
0.217	0.206
0.224	0.220
0.230	0.235
0.236	0.219
0.242	0.271
0.248	0.343
0.255	0.348
0.261	0.459
0.267	0.556
0.273	0.660
0.280	0.645
0.286	0.673
0.292	0.716
0.298	0.763
0.304	0.794
0.311	0.795
0.317	0.823
0.323	0.843
0.329	0.872
0.335	0.896
0.342	0.896
0.348	0.918
0.354	0.941
0.360	0.955
0.366	0.970
0.373	0.970
0.379	0.983
0.385	0.991
0.391	0.994
0.398	0.994
0.404	0.995
0.410	1.000
0.416	0.994
0.422	0.986
0.429	0.989
0.435	0.977
0.441	0.975
0.447	0.969
0.453	0.951
0.460	0.939
0.466	0.925
0.472	0.910
0.478	0.898
0.484	0.877
0.491	0.851
0.497	0.839
0.503	0.812
0.509	0.804
0.516	0.789
0.522	0.753
0.528	0.720
0.534	0.679
0.540	0.661
0.547	0.622
0.553	0.607
0.559	0.590
0.565	0.569
0.571	0.527
0.578	0.506
0.584	0.443
0.590	0.438
0.596	0.382
0.602	0.322
0.609	0.309
0.615	0.259
0.621	0.225
0.627	0.231
0.634	0.234
0.640	0.235
0.646	0.241
0.652	0.239
0.658	0.237
0.665	0.227
0.671	0.217
0.677	0.207
0.683	0.197
0.689	0.187
0.696	0.177
0.702	0.167
0.708	0.157
0.714	0.147
0.720	0.137
0.727	0.127
0.733	0.117
0.739	0.107
0.745	0.097
0.752	0.087
0.758	0.077
0.764	0.067
0.770	0.057
0.776	0.047
0.783	0.037
0.789	0.027
0.795	0.010
0.801	0.010
0.807	0.010
0.814	0.010
0.820	0.010
0.826	0.010
0.832	0.010
0.839	0.010
0.845	0.010
0.851	0.010
0.857	0.010
0.863	0.010
0.870	0.010
0.876	0.010
0.882	0.010
0.888	0.010
0.894	0.010
0.901	0.010
0.907	0.010
0.913	0.010
0.919	0.010
0.925	0.010
0.932	0.010
0.938	0.010
0.944	0.010
0.950	0.010
0.957	0.010
0.963	0.010
0.969	0.010
0.975	0.010
0.981	0.010
0.988	0.010
0.994	0.010
1.000	0.010
